"Codice_Prodotto";"Codice_EAN";"Quantita_Disponibile";"Quantita_in_Arrivo";"Data_Arrivo";"Codice_Fornitore";"Codice_Cliente"
"6206216063";"4711121809163";"148";"0";"";"";""
"6206216055";"4711121908835";"15";"156";"";"";""
"6202004124";"4711121687310";"0";"60";"";"";""
"6202004114";"4711121116315";"0";"0";"";"";""
"3202235002";"5025232940912";"0";"0";"";"";""
"3202235001";"5025232937172";"0";"0";"";"";""
"5620202008";"8050507987443";"0";"25";"";"";""
"5620202006";"8056711537245";"0";"0";"";"";""
"5615202013";"4260186730139";"0";"10";"";"";""
"5615202012";"8052679455928";"0";"0";"";"";""
"5615202011";"8052679455942";"0";"0";"";"";""
"5615202010";"8052679455935";"0";"0";"";"";""
"6216834244";"8020252077065";"0";"0";"";"";""
"6216834243";"8020252076945";"0";"0";"";"";""
"6216834242";"8020252076822";"0";"0";"";"";""
"6216834241";"8020252076792";"0";"0";"";"";""
"6216834235";"8020252075351";"0";"0";"";"";""
"6216834234";"8020252075238";"0";"0";"";"";""
"6216834197";"8020252056626";"0";"0";"";"";""
"6216834194";"8020252055148";"0";"0";"";"";""
"6216834187";"8020252055155";"0";"0";"";"";""
"6216834098";"8020252011830";"1";"0";"";"";""
"6216834092";"8020252011700";"0";"0";"";"";""
"6237834416";"8020252172050";"0";"0";"";"";""
"6237834415";"8020252172081";"0";"0";"";"";""
"8855834002";"8020252186774";"0";"0";"";"";""
"8855834001";"8020252181472";"0";"0";"";"";""
"6239834011";"8020252170377";"0";"0";"";"";""
"6238834008";"8020252198968";"0";"0";"";"";""
"6238834007";"8020252180895";"0";"0";"";"";""
"6238834006";"8020252182813";"0";"0";"";"";""
"6237834455";"8020252192485";"0";"0";"";"";""
"6226834003";"8020252170209";"0";"0";"";"";""
"6222834009";"8020252205109";"0";"0";"";"";""
"6222834008";"8020252205765";"0";"0";"";"";""
"6222834007";"8020252205123";"0";"0";"";"";""
"6222834006";"8020252188969";"0";"0";"";"";""
"6222834005";"8020252188921";"0";"0";"";"";""
