Codice_Prodotto;Codice_EAN;Prezzo_Acquisto;Prezzo_Vendita;Prezzo_Listino;Spese_Consegna;Spese_Consegna_Incluse;Attivo;Codice_Fornitore;Codice_Cliente;Descrizione_Breve;Descrizione_Estesa;Data_Lancio;Classificazione;Descrizione_Classificazione;Codice_Marchio;Descrizione_Marchio;Iva;Note;Link_Scheda_Energetica;Link_Video;Data_Fuori_Produzione;Raee;Raee Annegata;Siae;Siae Annegata
"9033318039";"8018080480249";"20.45";"39.95";"39.95";"0";"0";"1";"";"";"CUSTODIA IPAD PRO 11'' (2024) NERO";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318038";"8018080480188";"23.00";"44.95";"44.95";"0";"0";"1";"";"";"CUSTODIA FOLIO IPAD 12.9'' (2024) ROSA";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318037";"8018080480164";"23.00";"44.95";"44.95";"0";"0";"1";"";"";"CUSTODIA FOLIO IPAD 12.9'' (2024) BLU";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318036";"8018080480157";"23.00";"44.95";"44.95";"0";"0";"1";"";"";"CUSTODIA FOLIO IPAD 12.9'' (2024) NERO";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318035";"8018080480140";"23.00";"44.95";"44.95";"0";"0";"1";"";"";"CUSTODIA FOLIO IPAD PRO 12.9"""" (2024) NER";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318031";"8018080479281";"5.45";"9.95";"9.95";"0";"0";"1";"";"";"CUSTODIA GOMMA SOFT OPPO A79 5G TRASP";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318125";"8018080485350";"7.75";"12.90";"12.90";"0";"0";"1";"";"";"CUSTODIA MOOD HONOR 200 NERO";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318124";"8018080485312";"6.35";"9.90";"9.90";"0";"0";"1";"";"";"CUSTODIA GOMMA FINE HONOR 200 LITET";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318121";"8806095705231";"36.75";"54.90";"54.90";"0";"0";"1";"";"";"CUSTODIA B6 FLIPSUIT KEITH HARRING CARD W";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318120";"8806095622873";"70.15";"99.90";"99.90";"0";"0";"1";"";"";"CUSTODIA Q6 S PEN GRAY";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318118";"8806095620138";"37.30";"54.90";"54.90";"0";"0";"1";"";"";"CUSTODIA B6 SILICONE WITH RING GRAY";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318026";"8018080478635";"10.85";"19.95";"19.95";"0";"0";"1";"";"";"CUSTODIA RIGIDA CLEARDUO GALAXY A25 TRAS";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318025";"8018080478628";"7.05";"12.95";"12.95";"0";"0";"1";"";"";"CUSTODIA GOMMA FINE GALAXY A55 5G TRASP";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318024";"8018080478314";"10.85";"19.95";"19.95";"0";"0";"1";"";"";"CUSTODIA RIGIDA CLEARDUO GALAXY A55 5G T";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318023";"8018080478307";"13.55";"24.95";"24.95";"0";"0";"1";"";"";"CUSTODIA TETRA GALAXY A55 5G TRASP";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318022";"8018080478277";"10.85";"19.95";"19.95";"0";"0";"1";"";"";"CUSTODIA RIGIDA CLEARDUO GALA A15/A15 5G";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318081";"8018080482892";"10.85";"19.95";"19.95";"0";"0";"1";"";"";"CUSTODIA RIGIDA CLEAR DUO IPHONE 16 TRAS";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318080";"8018080482885";"10.85";"19.95";"19.95";"0";"0";"1";"";"";"CUSTODIA RIGIDA CLEARDUO IPHONE 16 PLUS";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318079";"8018080482878";"10.85";"19.95";"19.95";"0";"0";"1";"";"";"CUSTODIA RIGIDA CLEARDUO IPHONE 16PRO TR";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318078";"8018080482861";"10.85";"19.95";"19.95";"0";"0";"1";"";"";"CUSTODIA RIGIDA CLEARDUO IPHONE 16PROMAX";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318076";"8018080482847";"16.30";"29.95";"29.95";"0";"0";"1";"";"";"CUSTODIA GLOSS MAG IPHONE 16 PRO TRASP";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318074";"8018080482823";"16.30";"29.95";"29.95";"0";"0";"1";"";"";"CUSTODIA GLOSS MAG IPHONE 16 PRO MAX T";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318070";"8018080482779";"16.30";"29.95";"29.95";"0";"0";"1";"";"";"CUSTODIA STR GUARD MAG IPH16 PRO MAX TRA";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318069";"8018080482762";"16.30";"29.95";"29.95";"0";"0";"1";"";"";"CUSTODIA GLOSS MAG IPHONE 16 PLUS TRASP";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318027";"8018080478758";"5.45";"9.95";"9.95";"0";"0";"1";"";"";"CUSTODIA GOMMA SOFT HONOR MAGIC6 LITE TR";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318057";"8018080482564";"13.55";"24.95";"24.95";"0";"0";"1";"";"";"CUSTODIA SENSATION IPHONE 16 PRO ROSA";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318056";"8018080482557";"13.55";"24.95";"24.95";"0";"0";"1";"";"";"CUSTODIA SENSATION IPHONE 16 PRO NERO";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318054";"8018080482519";"13.55";"24.95";"24.95";"0";"0";"1";"";"";"CUSTODIA SENSATION IPH 16 PRO MAX NERO";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318053";"8018080482502";"7.05";"12.95";"12.95";"0";"0";"1";"";"";"CUSTODIA GOMMA FINE IPHONE 16 TRASP";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318052";"8018080482496";"7.05";"12.95";"12.95";"0";"0";"1";"";"";"CUSTODIA GOMMA FINE IPHONE 16 PLUS TRASP";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318021";"8018080478260";"10.85";"19.95";"19.95";"0";"0";"1";"";"";"CUSTODIA A LIBRO BOOK3 GALAXY A55 5G BLU";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318020";"8018080478253";"10.85";"19.95";"19.95";"0";"0";"1";"";"";"CUSTODIA A LIBRO BOOK3 GALAXY A55 5G NER";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318019";"8018080478246";"14.65";"26.95";"26.95";"0";"0";"1";"";"";"CUSTODIA BOOK AGENDA2 GALAXY A55 5G NERO";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318018";"8018080477775";"10.85";"19.95";"19.95";"0";"0";"1";"";"";"CUSTODIA SENSATION+ GALAXY A55 5G ROSSO";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318017";"8018080477768";"10.85";"19.95";"19.95";"0";"0";"1";"";"";"CUSTODIA SENSATION+ GALAXY A55 5G NERO";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318016";"8018080477096";"14.65";"26.95";"26.95";"0";"0";"1";"";"";"CUSTODIA BOOK AGENDA GALAXY A35 5G NERO";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318011";"8018080476426";"5.45";"9.95";"9.95";"0";"0";"1";"";"";"CUSTODIA GOMMA SOFT REDMI 13C TRASP";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318008";"8018080477225";"10.85";"19.95";"19.95";"0";"0";"1";"";"";"KIT:CUSTODIA + VETRO GALAXY A35 5G TRAS";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318007";"8018080477201";"13.55";"24.95";"24.95";"0";"0";"1";"";"";"CUSTODIA TETRA GALAXY A35 5G TRASP";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318006";"8018080477195";"10.85";"19.95";"19.95";"0";"0";"1";"";"";"CUSTODIA RIGIDA CLEARDUO GALAXY A35 5G T";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318005";"8018080477140";"5.45";"9.95";"9.95";"0";"0";"1";"";"";"CUSTODIA GOMMA SOFT GALAXY A35 5G TRASP";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
"9033318004";"8018080477133";"9.25";"16.95";"16.95";"0";"0";"1";"";"";"CUSTODIA GOMMA CHROMA GALAXY A35 5G ROSA";"";"";"0704";"ACCESSORI";"CEL";"Cellular 9";"22";"";"";"";"";"0";"0";"0";"0"
